2024-10-21T13:38:52.231-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.types.Binary to class [B as reading converter
2024-10-21T13:38:52.232-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.BsonTimestamp to class java.time.Instant as reading converter
2024-10-21T13:38:52.232-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.BsonUndefined to class java.lang.Object as reading converter
2024-10-21T13:38:52.233-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.String to class java.net.URI as reading converter
2024-10-21T13:38:52.233-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.net.URI to class java.lang.String as writing converter
2024-10-21T13:38:52.237-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.geo.Box to class org.bson.Document as writing converter
2024-10-21T13:38:52.240-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.geo.Polygon to class org.bson.Document as writing converter
2024-10-21T13:38:52.242-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.geo.Circle to class org.bson.Document as writing converter
2024-10-21T13:38:52.243-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.geo.Sphere to class org.bson.Document as writing converter
2024-10-21T13:38:52.243-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.geo.Box as reading converter
2024-10-21T13:38:52.243-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.geo.Polygon as reading converter
2024-10-21T13:38:52.244-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.geo.Circle as reading converter
2024-10-21T13:38:52.245-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.Sphere as reading converter
2024-10-21T13:38:52.245-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.geo.Point as reading converter
2024-10-21T13:38:52.245-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.geo.Point to class org.bson.Document as writing converter
2024-10-21T13:38:52.246-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.query.GeoCommand to class org.bson.Document as writing converter
2024-10-21T13:38:52.247-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from interface org.springframework.data.mongodb.core.geo.GeoJson to class org.bson.Document as writing converter
2024-10-21T13:38:52.247-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.geo.GeoJsonPoint to class org.bson.Document as writing converter
2024-10-21T13:38:52.247-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.geo.GeoJsonPolygon to class org.bson.Document as writing converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonPoint as reading converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonPolygon as reading converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonLineString as reading converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonMultiLineString as reading converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonMultiPoint as reading converter
2024-10-21T13:38:52.248-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.geo.GeoJsonMultiPolygon as reading converter
